run,batch_size,filters_conv2d_1,maxpooling_1,dropout1,filters_conv2d_2,maxpooling_2,dropout2,filters_conv2d_3,maxpooling_3,dropout3,filters_conv2d_4,maxpooling_4,dropout4,filters_conv2d_5,maxpooling_5,dropout5,filters_conv2d_6,maxpooling_6,dropout6,filters_conv2d_7,maxpooling_7,dropout7,filters_conv2d_8,maxpooling_8,dropout8,dropout_dense,dense_1,dense_2,dense_3,opt,lr,validation_acc,time_taken
0,8,215,2,0.5,None,2,0.4,None,2,0.2,411,None,0.4,185,None,0.2,417,2,0.5,None,2,0.4,504,2,0.2,0.3,129,None,128,RMSprop,1e-05,0.5515347334795506,57907.76987171173
1,32,85,None,0.3,74,None,0.5,113,None,0.2,None,None,0.4,210,2,0.5,204,None,0.3,384,None,0.5,298,None,0.4,0.3,None,None,512,Adagrad,1e-05,0.4151857836181012,58636.31295967102
2,8,75,2,0.5,218,2,0.2,76,2,0.4,199,2,0.4,199,None,0.2,414,2,0.3,401,2,0.2,200,2,0.5,0.2,527,507,512,RMSprop,0.001,0.2678513731825525,57603.93461728096
3,16,306,2,0.2,417,2,0.2,317,2,0.4,None,None,0.3,None,None,0.5,None,None,0.2,29,None,0.5,None,2,0.2,0.3,None,147,512,Adam,0.0001,0.6836833602969982,57802.32547736168
