run,batch_size,filters_conv2d_1,maxpooling_1,dropout1,filters_conv2d_2,maxpooling_2,dropout2,filters_conv2d_3,maxpooling_3,dropout3,filters_conv2d_4,maxpooling_4,dropout4,filters_conv2d_5,maxpooling_5,dropout5,filters_conv2d_6,maxpooling_6,dropout6,filters_conv2d_7,maxpooling_7,dropout7,filters_conv2d_8,maxpooling_8,dropout8,dropout_dense,dense_1,dense_2,dense_3,opt,lr,validation_acc,time_taken
0,1,295,None,0.5,199,None,0.5,292,2,0.4,59,2,0.5,114,2,0.5,507,None,0.3,24,None,0.2,196,2,0.3,0.2,524,244,512,RMSprop,0.0001,0.5753920386007237,23050.084559202194
1,1,520,2,0.3,None,2,0.4,68,2,0.4,36,2,0.4,391,2,0.4,211,2,0.5,None,2,0.4,519,None,0.4,0.4,492,124,128,Adam,0.001,0.3333333333333333,11009.989020109177
2,1,496,2,0.3,44,2,0.3,109,2,0.2,108,2,0.4,288,None,0.4,195,2,0.3,37,2,0.5,47,2,0.5,0.3,126,None,None,RMSprop,1e-06,0.6867712102935264,10695.221272468567
3,1,26,2,0.2,509,None,0.3,71,None,0.5,61,None,0.3,189,None,0.5,389,2,0.4,488,2,0.2,52,None,0.4,0.4,None,236,512,RMSprop,0.0001,0.5452352231604343,13555.234745025635
